"IATA","Airport Name","City Name","Country Name","WAC State","WAC Sub Country","WAC Country","Longitude","Latitude","Eff From","Eff To"
"BMK","Borkum","Borkum","Germany","","","429","006.42.33E","53.35.44N","01Jan1996","31Dec1998"
"BMK","Borkum","Borkum","Germany","","","429","006.42.33E","53.35.44N","01Mar1999","30Sep1999"
"BMK","Borkum","Borkum","Germany","","","429","006.42.33E","53.35.44N","01Mar2000","31Oct2000"
"BMK","Borkum","Borkum","Germany","","","429","006.42.33E","53.35.44N","01Dec2000","31Mar2001"
"BMK","Borkum","Borkum","Germany","","","429","006.42.33E","53.35.44N","01May2001","30Sep2001"
"BMK","Borkum","Borkum","Germany","","","429","006.42.33E","53.35.44N","01Apr2002","31Oct2006"
"BMK","Borkum","Borkum","Germany","","","429","006.42.33E","53.35.44N","01Dec2006","31Dec2038"
"BMR","Baltrum","Baltrum","Germany","","","429","007.23.00E","53.44.00N","01May2002","31Dec2038"
"BNJ","Bonn","Bonn","Germany","","","429","007.06.00E","50.44.00N","01Jan1996","31May1996"
"BRE","Bremen (DE)","Bremen (DE)","Germany","","","429","008.47.12E","53.02.51N","01Jan1996","30Oct2021"
"BRE","Bremen (DE) 00","Bremen (DE) 00","Germany","","","429","008.47.12E","53.02.51N","31Oct2021","31Dec2038"
"BRV","Bremerhaven","Bremerhaven","Germany","","","429","008.34.22E","53.30.25N","01Mar2000","31Oct2000"
"BRV","Bremerhaven","Bremerhaven","Germany","","","429","008.34.22E","53.30.25N","01Dec2000","31Mar2001"
"BRV","Bremerhaven","Bremerhaven","Germany","","","429","008.34.22E","53.30.25N","01Apr2002","31Oct2006"
"BRV","Bremerhaven","Bremerhaven","Germany","","","429","008.34.22E","53.30.25N","01Dec2006","31Dec2038"
"BWE","Braunschweig","Braunschweig","Germany","","","429","010.33.22E","52.19.09N","01Jan1996","31Dec1996"
"BWE","Braunschweig","Braunschweig","Germany","","","429","010.33.22E","52.19.09N","01Aug2000","30Sep2000"
"BWE","Braunschweig/Wolfsburg","Braunschweig/Wolfsburg","Germany","","","429","010.33.22E","52.19.09N","01Mar2005","31Oct2010"
"BWE","Braunschweig/Wolfsburg","Braunschweig/Wolfsburg","Germany","","","429","010.33.22E","52.19.09N","01Apr2011","31Dec2038"
"BYU","Bayreuth","Bayreuth","Germany","","","429","011.38.19E","49.59.04N","01Jan1996","31Dec2038"
"CGN","Cologne/Bonn Apt","Cologne/Bonn","Germany","","","429","007.08.34E","50.51.57N","01Jan1996","31Dec2038"
"CSO","Magdeburg","Magdeburg","Germany","","","429","011.25.05E","51.51.21N","01May2011","31Oct2011"
"CSO","Magdeburg","Magdeburg","Germany","","","429","011.25.05E","51.51.21N","01Feb2012","31Dec2038"
"DHC","Bremen (DE) 00","Bremen (DE) 00","Germany","","","429","008.48.51E","53.05.01N","31Oct2021","31Dec2038"
"DRS","Dresden","Dresden","Germany","","","429","013.46.05E","51.08.04N","01Jan1996","31Dec2038"
"DTM","Dortmund","Dortmund","Germany","","","429","007.36.44E","51.31.06N","01Jan1996","31Dec2038"
"DUS","Dusseldorf Apt","Duesseldorf","Germany","","","429","006.46.00E","51.17.22N","01Jan1996","31Jan2000"
